id,BIC,LLS,model,best-param
7,413.9510148731789,-194.54629123974507,RWCK,"[0.09452838289704123, 6.287700686750659, 0.0468264978881937, 1.0]"
8,693.1471805599449,-346.57359027997245,Random,[]
8,534.0113762100747,-263.8983840558262,WSLS,[0.4408817524206884]
8,91.62168966396777,-39.596236733561696,RW,"[0.08786775271296486, 10.24989844675739]"
8,103.52321342943054,-39.332390517870884,RWCK,"[0.12481902423611603, 8.21345282114226, 0.0003147245442493413, 7.970579346607978]"
9,693.1471805599449,-346.57359027997245,Random,[]
9,699.3617886583671,-346.57359027997245,WSLS,[1.0]
9,705.1965328784067,-346.38365834078115,RW,"[0.03529914209329143, 1.0]"
9,717.6257490752554,-346.3836583407833,RWCK,"[0.03529902614551229, 1.0, 0.0, 1.0]"
10,693.1471805599449,-346.57359027997245,Random,[]
10,599.8964327543678,-296.8409123279728,WSLS,[0.561122245900953]
10,282.023548695153,-134.79716624915432,RW,"[0.16483186193966853, 10.687312391999434]"
10,297.43081153385185,-136.28618957008155,RWCK,"[0.22713531153289135, 7.409386294765099, 0.1063423867298322, 1.0]"
11,693.1471805599449,-346.57359027997245,Random,[]
11,553.4870907991143,-273.63624135034604,WSLS,[0.47294588897848033]
11,187.5673552717288,-87.5690695374422,RW,"[0.1494779773773757, 10.876029081263491]"
11,199.2454889677285,-87.19352828701987,RWCK,"[0.1746418954343964, 9.206807429524465, 0.0031823402284699267, 1.0]"
12,693.1471805599449,-346.57359027997245,Random,[]
12,531.4734911771242,-262.629441539351,WSLS,[0.4368737591093111]
12,132.4603999351532,-60.015591869154406,RW,"[0.13677245928751286, 10.105117931785665]"
12,142.58969258741269,-58.865630096861956,RWCK,"[0.15214994794536435, 7.5246627879165295, 0.7899360877288591, 1.0]"
13,693.1471805599449,-346.57359027997245,Random,[]
13,699.3597846490096,-346.5725882752937,WSLS,[0.9979959922670253]
13,705.5711663571673,-346.5709750801614,RW,"[0.00018008989100589575, 1.0000042734795624]"
13,718.0003825572443,-346.57097508177776,RWCK,"[0.0001801825887906342, 1.0000000000650568, 0.0, 1.0]"
14,693.1471805599449,-346.57359027997245,Random,[]
14,614.3350241123413,-304.06020800695956,WSLS,[0.5931863744203382]
14,351.84170202219474,-169.70624291267518,RW,"[0.08237970919937948, 9.732814819815113]"
14,366.4383331542582,-170.78995038028472,RWCK,"[0.11617334626401199, 6.679238070513293, 0.026603611481243662, 1.0]"
15,693.1471805599449,-346.57359027997245,Random,[]
15,582.1310448485225,-287.95821837505014,WSLS,[0.5250500910224891]
15,137.6862559054836,-62.6285198543196,RW,"[0.10943501155754294, 9.814825259945211]"
15,151.28731210812006,-63.21443985721565,RWCK,"[0.1454636840935414, 6.942017685028839, 0.10846931309521558, 1.0]"
16,693.1471805599449,-346.57359027997245,Random,[]
16,616.0525787093889,-304.9189853054833,WSLS,[0.5971943860724828]
16,274.2448493543067,-130.90781657873117,RW,"[0.12986690846576837, 9.490537204186445]"
16,290.42505775345006,-132.78331267988065,RWCK,"[0.1749040931199023, 6.731576399085828, 0.058504820782748226, 1.0]"
17,693.1471805599449,-346.57359027997245,Random,[]
17,629.1100589893667,-311.44772544547226,WSLS,[0.6292585032872163]
17,400.49593497929595,-194.0333593912258,RW,"[0.10985356262526921, 9.957534508923272]"
17,416.933729690883,-196.03764864859713,RWCK,"[0.1605456295605042, 6.620212869945717, 0.05999220185098615, 1.0]"
18,693.1471805599449,-346.57359027997245,Random,[]
18,580.054905599197,-286.9201487503874,WSLS,[0.5210420691337624]
18,186.6813013319514,-87.12604256755351,RW,"[0.1593872858913134, 10.615318919129335]"
18,194.16411708105204,-84.65284234368164,RWCK,"[0.21339909956262743, 8.59406555357548, 0.00014182930367947265, 19.126549407414448]"
19,693.1471805599449,-346.57359027997245,Random,[]
19,621.090710399169,-307.4380511503734,WSLS,[0.6092184268568797]
19,244.6335400117212,-116.10216190743841,RW,"[0.011779232698246355, 14.408027394628112]"
19,252.2074447746383,-113.67450619047477,RWCK,"[0.34463970082730766, 2.0979906763410283, 0.005987303184703834, 4.576247780862127]"
20,693.1471805599449,-346.57359027997245,Random,[]
